,cell_type,sex,race,count,percentage
288,"naive thymus-derived CD8-positive, alpha-beta T cell",male,unknown,20,0.019267080266656394
289,"central memory CD4-positive, alpha-beta T cell",male,unknown,239,0.23024160918654388
290,"effector memory CD8-positive, alpha-beta T cell",male,unknown,115,0.11078571153327425
291,"CD4-positive, alpha-beta cytotoxic T cell",male,unknown,5,0.0048167700666640985
292,"CD16-negative, CD56-bright natural killer cell, human",male,unknown,14,0.013486956186659472
293,mucosal invariant T cell,male,unknown,2,0.001926708026665639
294,plasmablast,male,unknown,10,0.009633540133328197
295,conventional dendritic cell,male,unknown,53,0.051057762706639434
296,"plasmacytoid dendritic cell, human",male,unknown,18,0.01734037223999075
297,hematopoietic stem cell,male,European,49,0.04720434665330816
298,erythrocyte,male,European,11,0.010596894146661016
299,platelet,male,European,127,0.12234595969326809
300,lymphocyte,male,European,26,0.025047204346653307
301,natural killer cell,male,European,2312,2.227274478825479
302,memory B cell,male,European,28,0.026973912373318944
303,naive B cell,male,European,49,0.04720434665330816
304,regulatory T cell,male,European,63,0.06069130283996763
305,transitional stage B cell,male,European,60,0.05780124079996917
306,classical monocyte,male,European,2050,1.9748757273322801
307,non-classical monocyte,male,European,1207,1.162768294092713
308,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,559,0.5385148934530462
309,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,46,0.044314284613309704
310,"central memory CD4-positive, alpha-beta T cell",male,European,498,0.47975029863974417
311,"effector memory CD8-positive, alpha-beta T cell",male,European,88,0.08477515317328813
312,"CD4-positive, alpha-beta cytotoxic T cell",male,European,49,0.04720434665330816
313,"CD16-negative, CD56-bright natural killer cell, human",male,European,53,0.051057762706639434
314,mucosal invariant T cell,male,European,63,0.06069130283996763
315,plasmablast,male,European,6,0.005780124079996917
316,conventional dendritic cell,male,European,416,0.4007552695464529
317,"activated CD4-positive, alpha-beta T cell, human",male,European,3,0.0028900620399984586
318,"plasmacytoid dendritic cell, human",male,European,267,0.2572155215598628
319,platelet,unknown,European,14,0.013486956186659472
320,lymphocyte,unknown,European,119,0.11463912758660554
321,natural killer cell,unknown,European,2506,2.4141651574120457
322,memory B cell,unknown,European,1138,1.0962968671727487
323,naive B cell,unknown,European,957,0.9219297907595083
324,gamma-delta T cell,unknown,European,278,0.26781241570652387
325,regulatory T cell,unknown,European,251,0.24180185734653772
326,transitional stage B cell,unknown,European,508,0.48938383877307234
327,classical monocyte,unknown,European,11885,11.449462448460562
328,non-classical monocyte,unknown,European,2065,1.9893260375322723
329,"naive thymus-derived CD4-positive, alpha-beta T cell",unknown,European,1758,1.6935763554390966
330,"naive thymus-derived CD8-positive, alpha-beta T cell",unknown,European,349,0.33621055065315403
331,"central memory CD4-positive, alpha-beta T cell",unknown,European,3614,3.4815614041848097
332,"effector memory CD8-positive, alpha-beta T cell",unknown,European,2858,2.753265770105198
333,"CD16-negative, CD56-bright natural killer cell, human",unknown,European,113,0.10885900350660861
334,mucosal invariant T cell,unknown,European,396,0.38148818927979655
335,plasmablast,unknown,European,147,0.14161303995992447
336,conventional dendritic cell,unknown,European,270,0.2601055835998613
337,"plasmacytoid dendritic cell, human",unknown,European,258,0.24854533543986743
338,double negative thymocyte,unknown,European,26,0.025047204346653307
339,platelet,unknown,unknown,270,0.2601055835998613
340,lymphocyte,unknown,unknown,53,0.051057762706639434
341,natural killer cell,unknown,unknown,927,0.8930291703595238
342,memory B cell,unknown,unknown,392,0.37763477322646527
343,naive B cell,unknown,unknown,1515,1.4594813301992215
344,gamma-delta T cell,unknown,unknown,454,0.4373627220531
345,regulatory T cell,unknown,unknown,243,0.23409502523987516
346,transitional stage B cell,unknown,unknown,415,0.3997919155331201
347,classical monocyte,unknown,unknown,4273,4.116411698971137
348,non-classical monocyte,unknown,unknown,482,0.46433663442641904
349,"naive thymus-derived CD4-positive, alpha-beta T cell",unknown,unknown,2232,2.1502061577588534
350,"naive thymus-derived CD8-positive, alpha-beta T cell",unknown,unknown,551,0.5308080613463836
351,"central memory CD4-positive, alpha-beta T cell",unknown,unknown,2612,2.516280682825325
352,"effector memory CD8-positive, alpha-beta T cell",unknown,unknown,597,0.5751223459596932
353,"CD16-negative, CD56-bright natural killer cell, human",unknown,unknown,41,0.0394975145466456
354,mucosal invariant T cell,unknown,unknown,737,0.7099919078262881
355,plasmablast,unknown,unknown,44,0.04238757658664406
356,conventional dendritic cell,unknown,unknown,304,0.2928596200531771
357,"plasmacytoid dendritic cell, human",unknown,unknown,120,0.11560248159993834
358,double negative thymocyte,unknown,unknown,15,0.014450310199992293
