,cell_type,sex,race,count,percentage
224,plasmacytoid dendritic cell,female,Asian,24,0.0024670139674107454
225,classical monocyte,female,Asian,792,0.0814114609245546
226,non-classical monocyte,female,Asian,124,0.012746238831622184
227,plasmablast,female,Asian,8,0.0008223379891369151
228,conventional dendritic cell,female,Asian,62,0.006373119415811092
229,progenitor cell,female,Asian,10,0.001027922486421144
230,B cell,female,European,5684,0.5842711412817783
231,lymphocyte,female,European,151,0.015521629544959272
232,natural killer cell,female,European,2486,0.25554153012429637
233,"CD4-positive, alpha-beta T cell",female,European,23346,2.3997878367988026
234,"CD8-positive, alpha-beta T cell",female,European,8833,0.9079639322557965
235,plasmacytoid dendritic cell,female,European,331,0.034024234300539864
236,classical monocyte,female,European,8295,0.852661702486339
237,non-classical monocyte,female,European,1720,0.17680266766443675
238,plasmablast,female,European,36,0.0037005209511161183
239,conventional dendritic cell,female,European,817,0.08398126714060747
240,progenitor cell,female,European,35,0.003597728702474004
241,B cell,female,Asian,510,0.052424046807478336
242,lymphocyte,female,Asian,13,0.0013362992323474872
243,natural killer cell,female,Asian,106,0.010895978356064125
244,"CD4-positive, alpha-beta T cell",female,Asian,1492,0.15336603497403467
245,"CD8-positive, alpha-beta T cell",female,Asian,776,0.07976678494628077
246,plasmacytoid dendritic cell,female,Asian,15,0.001541883729631716
247,classical monocyte,female,Asian,245,0.025184100917318028
248,non-classical monocyte,female,Asian,61,0.006270327167168978
249,plasmablast,female,Asian,4,0.00041116899456845754
250,conventional dendritic cell,female,Asian,10,0.001027922486421144
251,B cell,female,European,8423,0.8658191103125296
252,lymphocyte,female,European,240,0.024670139674107455
253,natural killer cell,female,European,4211,0.4328581590319437
254,"CD4-positive, alpha-beta T cell",female,European,21777,2.2385067986793254
255,"CD8-positive, alpha-beta T cell",female,European,10371,1.0660584106673685
256,plasmacytoid dendritic cell,female,European,392,0.04029456146770884
257,classical monocyte,female,European,8796,0.9041606190560383
258,non-classical monocyte,female,European,1796,0.18461487856123746
259,plasmablast,female,European,59,0.006064742669884749
260,conventional dendritic cell,female,European,946,0.09724146721544022
261,progenitor cell,female,European,31,0.003186559707905546
262,B cell,female,European,1952,0.2006504693494073
263,lymphocyte,female,European,76,0.007812210896800694
264,natural killer cell,female,European,835,0.08583152761616551
265,"CD4-positive, alpha-beta T cell",female,European,5982,0.6149032313771283
266,"CD8-positive, alpha-beta T cell",female,European,2281,0.23446911915266294
267,plasmacytoid dendritic cell,female,European,85,0.008737341134579723
268,classical monocyte,female,European,2913,0.29943382029447924
269,non-classical monocyte,female,European,326,0.033510273057329294
270,plasmablast,female,European,47,0.004831235686179377
271,conventional dendritic cell,female,European,193,0.019838903987928078
272,progenitor cell,female,European,7,0.0007195457404948008
273,B cell,female,Hispanic or Latin American,237,0.024361762928181114
274,lymphocyte,female,Hispanic or Latin American,5,0.000513961243210572
275,natural killer cell,female,Hispanic or Latin American,233,0.02395059393361265
276,"CD4-positive, alpha-beta T cell",female,Hispanic or Latin American,1046,0.10752069207965165
277,"CD8-positive, alpha-beta T cell",female,Hispanic or Latin American,849,0.08727061909715512
278,plasmacytoid dendritic cell,female,Hispanic or Latin American,1,0.00010279224864211439
279,classical monocyte,female,Hispanic or Latin American,459,0.047181642126730504
280,non-classical monocyte,female,Hispanic or Latin American,75,0.007709418648158579
281,plasmablast,female,Hispanic or Latin American,4,0.00041116899456845754
282,conventional dendritic cell,female,Hispanic or Latin American,34,0.0034949364538318897
283,progenitor cell,female,Hispanic or Latin American,4,0.00041116899456845754
284,B cell,female,European,2195,0.2256289857694411
285,lymphocyte,female,European,156,0.016035590788169848
286,natural killer cell,female,European,3131,0.3218425304984602
287,"CD4-positive, alpha-beta T cell",female,European,9259,0.9517534301773372
288,"CD8-positive, alpha-beta T cell",female,European,4601,0.4729471360023684
289,plasmacytoid dendritic cell,female,European,147,0.015110460550390815
290,classical monocyte,female,European,3469,0.3565863105394948
291,non-classical monocyte,female,European,496,0.05098495532648874
292,plasmablast,female,European,26,0.0026725984646949743
293,conventional dendritic cell,female,European,337,0.03464098779239255
294,progenitor cell,female,European,18,0.0018502604755580591
295,B cell,female,European,229,0.023539424939044196
296,lymphocyte,female,European,13,0.0013362992323474872
297,natural killer cell,female,European,190,0.019530527242001734
298,"CD4-positive, alpha-beta T cell",female,European,1314,0.13506901471573832
299,"CD8-positive, alpha-beta T cell",female,European,531,0.05458268402896274
300,plasmacytoid dendritic cell,female,European,5,0.000513961243210572
301,classical monocyte,female,European,587,0.06033904995292115
302,non-classical monocyte,female,European,45,0.004625651188895148
303,conventional dendritic cell,female,European,40,0.004111689945684576
304,progenitor cell,female,European,8,0.0008223379891369151
305,B cell,female,Asian,154,0.015830006290885615
306,lymphocyte,female,Asian,16,0.0016446759782738302
307,natural killer cell,female,Asian,244,0.025081308668675913
308,"CD4-positive, alpha-beta T cell",female,Asian,1568,0.16117824587083537
309,"CD8-positive, alpha-beta T cell",female,Asian,492,0.050573786331920285
310,plasmacytoid dendritic cell,female,Asian,5,0.000513961243210572
311,classical monocyte,female,Asian,743,0.076374640741091
312,non-classical monocyte,female,Asian,49,0.005036820183463605
313,plasmablast,female,Asian,13,0.0013362992323474872
314,conventional dendritic cell,female,Asian,52,0.005345196929389949
315,progenitor cell,female,Asian,2,0.00020558449728422877
316,B cell,female,European,721,0.07411321127096449
317,lymphocyte,female,European,21,0.002158637221484402
318,natural killer cell,female,European,868,0.0892236718213553
319,"CD4-positive, alpha-beta T cell",female,European,2145,0.22048937333733537
320,"CD8-positive, alpha-beta T cell",female,European,1411,0.1450398628340234
321,plasmacytoid dendritic cell,female,European,20,0.002055844972842288
322,classical monocyte,female,European,1487,0.15285207373082413
323,non-classical monocyte,female,European,342,0.03515494903560312
324,plasmablast,female,European,7,0.0007195457404948008
325,conventional dendritic cell,female,European,119,0.012232277588411614
326,progenitor cell,female,European,6,0.0006167534918526863
327,B cell,female,Asian,31,0.003186559707905546
328,natural killer cell,female,Asian,26,0.0026725984646949743
329,"CD4-positive, alpha-beta T cell",female,Asian,278,0.028576245122507803
330,"CD8-positive, alpha-beta T cell",female,Asian,88,0.009045717880506067
331,classical monocyte,female,Asian,31,0.003186559707905546
332,non-classical monocyte,female,Asian,1,0.00010279224864211439
333,conventional dendritic cell,female,Asian,1,0.00010279224864211439
334,B cell,female,European,425,0.04368670567289862
335,lymphocyte,female,European,12,0.0012335069837053727
336,natural killer cell,female,European,202,0.02076403422570711
337,"CD4-positive, alpha-beta T cell",female,European,2137,0.21966703534819845
338,"CD8-positive, alpha-beta T cell",female,European,553,0.056844113499089265
339,plasmacytoid dendritic cell,female,European,13,0.0013362992323474872
340,classical monocyte,female,European,766,0.07873886245985963
341,non-classical monocyte,female,European,107,0.01099877060470624
342,plasmablast,female,European,4,0.00041116899456845754
343,conventional dendritic cell,female,European,52,0.005345196929389949
344,progenitor cell,female,European,4,0.00041116899456845754
345,B cell,female,Asian,472,0.04851794135907799
346,lymphocyte,female,Asian,9,0.0009251302377790296
347,natural killer cell,female,Asian,103,0.010587601610137783
348,"CD4-positive, alpha-beta T cell",female,Asian,1367,0.1405170038937704
349,"CD8-positive, alpha-beta T cell",female,Asian,223,0.02292267144719151
350,plasmacytoid dendritic cell,female,Asian,9,0.0009251302377790296
351,classical monocyte,female,Asian,200,0.02055844972842288
352,non-classical monocyte,female,Asian,34,0.0034949364538318897
353,plasmablast,female,Asian,5,0.000513961243210572
354,conventional dendritic cell,female,Asian,14,0.0014390914809896016
355,progenitor cell,female,Asian,3,0.00030837674592634317
356,B cell,female,Asian,128,0.013157407826190641
357,lymphocyte,female,Asian,18,0.0018502604755580591
358,natural killer cell,female,Asian,134,0.01377416131804333
359,"CD4-positive, alpha-beta T cell",female,Asian,1338,0.13753602868314907
360,"CD8-positive, alpha-beta T cell",female,Asian,408,0.04193923744598267
361,plasmacytoid dendritic cell,female,Asian,4,0.00041116899456845754
362,classical monocyte,female,Asian,451,0.04635930413759359
363,non-classical monocyte,female,Asian,32,0.0032893519565476603
364,plasmablast,female,Asian,5,0.000513961243210572
365,conventional dendritic cell,female,Asian,43,0.004420066691610919
366,B cell,female,Asian,296,0.03042650559806586
367,lymphocyte,female,Asian,12,0.0012335069837053727
368,natural killer cell,female,Asian,199,0.020455657479780766
369,"CD4-positive, alpha-beta T cell",female,Asian,923,0.09487724549667159
370,"CD8-positive, alpha-beta T cell",female,Asian,569,0.05848878947736309
371,plasmacytoid dendritic cell,female,Asian,3,0.00030837674592634317
372,classical monocyte,female,Asian,517,0.05314359254797314
373,non-classical monocyte,female,Asian,75,0.007709418648158579
374,plasmablast,female,Asian,2,0.00020558449728422877
375,conventional dendritic cell,female,Asian,39,0.004008897697042462
376,progenitor cell,female,Asian,1,0.00010279224864211439
377,B cell,female,European,250,0.025698062160528598
378,lymphocyte,female,European,28,0.0028781829619792033
379,natural killer cell,female,European,207,0.02127799546891768
380,"CD4-positive, alpha-beta T cell",female,European,2086,0.21442463066745063
381,"CD8-positive, alpha-beta T cell",female,European,1396,0.1434979791043917
382,plasmacytoid dendritic cell,female,European,1,0.00010279224864211439
383,classical monocyte,female,European,1223,0.1257149200893059
384,non-classical monocyte,female,European,307,0.03155722033312912
385,plasmablast,female,European,9,0.0009251302377790296
386,conventional dendritic cell,female,European,88,0.009045717880506067
387,progenitor cell,female,European,3,0.00030837674592634317
388,B cell,female,European,672,0.06907639108750087
389,lymphocyte,female,European,19,0.0019530527242001734
390,natural killer cell,female,European,689,0.07082385931441681
391,"CD4-positive, alpha-beta T cell",female,European,1912,0.19653877940372272
392,"CD8-positive, alpha-beta T cell",female,European,325,0.033407480808687176
393,plasmacytoid dendritic cell,female,European,15,0.001541883729631716
394,classical monocyte,female,European,504,0.051807293315625655
395,non-classical monocyte,female,European,103,0.010587601610137783
396,plasmablast,female,European,3,0.00030837674592634317
397,conventional dendritic cell,female,European,51,0.005242404680747834
398,progenitor cell,female,European,4,0.00041116899456845754
399,B cell,female,European,636,0.06537587013638475
400,lymphocyte,female,European,13,0.0013362992323474872
401,natural killer cell,female,European,722,0.0742160035196066
402,"CD4-positive, alpha-beta T cell",female,European,1319,0.1355829759589489
403,"CD8-positive, alpha-beta T cell",female,European,414,0.04255599093783536
404,plasmacytoid dendritic cell,female,European,43,0.004420066691610919
405,classical monocyte,female,European,1498,0.15398278846588737
406,non-classical monocyte,female,European,129,0.013260200074832756
407,plasmablast,female,European,3,0.00030837674592634317
408,conventional dendritic cell,female,European,73,0.00750383415087435
409,progenitor cell,female,European,5,0.000513961243210572
410,B cell,female,Asian,310,0.031865597079055466
411,lymphocyte,female,Asian,6,0.0006167534918526863
412,natural killer cell,female,Asian,71,0.007298249653590122
413,"CD4-positive, alpha-beta T cell",female,Asian,1017,0.10453971686903035
414,"CD8-positive, alpha-beta T cell",female,Asian,474,0.04872352585636223
415,plasmacytoid dendritic cell,female,Asian,4,0.00041116899456845754
416,classical monocyte,female,Asian,183,0.018810981501506934
417,non-classical monocyte,female,Asian,23,0.002364221718768631
418,plasmablast,female,Asian,1,0.00010279224864211439
419,conventional dendritic cell,female,Asian,14,0.0014390914809896016
420,B cell,female,European,163,0.016755136528664647
421,lymphocyte,female,European,7,0.0007195457404948008
422,natural killer cell,female,European,209,0.02148357996620191
423,"CD4-positive, alpha-beta T cell",female,European,749,0.07699139423294368
424,"CD8-positive, alpha-beta T cell",female,European,149,0.015316045047675045
425,plasmacytoid dendritic cell,female,European,9,0.0009251302377790296
426,classical monocyte,female,European,421,0.04327553667833016
427,non-classical monocyte,female,European,52,0.005345196929389949
428,conventional dendritic cell,female,European,48,0.004934027934821491
429,progenitor cell,female,European,3,0.00030837674592634317
430,B cell,female,Asian,668,0.06866522209293241
431,lymphocyte,female,Asian,23,0.002364221718768631
432,natural killer cell,female,Asian,779,0.0800751616922071
433,"CD4-positive, alpha-beta T cell",female,Asian,2184,0.22449827103437786
434,"CD8-positive, alpha-beta T cell",female,Asian,1102,0.11327705800361007
435,plasmacytoid dendritic cell,female,Asian,11,0.0011307147350632584
436,classical monocyte,female,Asian,457,0.04697605762944628
437,non-classical monocyte,female,Asian,171,0.01757747451780156
438,plasmablast,female,Asian,11,0.0011307147350632584
439,conventional dendritic cell,female,Asian,27,0.0027753907133370886
440,progenitor cell,female,Asian,7,0.0007195457404948008
441,B cell,female,Asian,384,0.039472223478571926
