,cell_type,sex,race,count,percentage
266,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,African,207,0.07640970366323624
267,hematopoietic precursor cell,female,African,1,0.00036912900320403973
268,native cell,female,East Asian,158,0.05832238250623828
269,granulocyte,female,East Asian,6,0.0022147740192242386
270,erythrocyte,female,East Asian,3,0.0011073870096121193
271,platelet,female,East Asian,116,0.042818964371668614
272,B cell,female,East Asian,128,0.047248512410117086
273,dendritic cell,female,East Asian,1,0.00036912900320403973
274,CD4-positive helper T cell,female,East Asian,3278,1.2100048725028423
275,natural killer cell,female,East Asian,2137,0.788828679847033
276,plasmacytoid dendritic cell,female,East Asian,49,0.01808732115699795
277,plasma cell,female,East Asian,74,0.02731554623709894
278,naive B cell,female,East Asian,2095,0.7733252617124633
279,"CD8-positive, alpha-beta cytotoxic T cell",female,East Asian,2569,0.9482924092311782
280,gamma-delta T cell,female,East Asian,191,0.07050363961197159
281,mature NK T cell,female,East Asian,72,0.026577288230690863
282,regulatory T cell,female,East Asian,416,0.15355766533288054
283,classical monocyte,female,East Asian,2158,0.7965803889143178
284,non-classical monocyte,female,East Asian,533,0.19674575870775318
285,"naive thymus-derived CD4-positive, alpha-beta T cell",female,East Asian,1964,0.724969362292734
286,"naive thymus-derived CD8-positive, alpha-beta T cell",female,East Asian,903,0.3333234898932479
287,"central memory CD8-positive, alpha-beta T cell",female,East Asian,892,0.32926307085800344
288,"effector memory CD8-positive, alpha-beta T cell",female,East Asian,174,0.06422844655750291
289,"CD4-positive, alpha-beta cytotoxic T cell",female,East Asian,474,0.17496714751871484
290,"CD16-negative, CD56-bright natural killer cell, human",female,East Asian,135,0.049832415432545366
291,mucosal invariant T cell,female,East Asian,448,0.1653697934354098
292,class switched memory B cell,female,East Asian,495,0.18271885658599968
293,plasmablast,female,East Asian,6,0.0022147740192242386
294,conventional dendritic cell,female,East Asian,202,0.07456405864721603
295,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,East Asian,358,0.13214818314704624
296,innate lymphoid cell,female,East Asian,16,0.005906064051264636
297,hematopoietic precursor cell,female,East Asian,61,0.022516869195446425
298,native cell,female,European,41,0.015134289131365629
299,platelet,female,European,83,0.030637707265935295
300,B cell,female,European,41,0.015134289131365629
301,dendritic cell,female,European,3,0.0011073870096121193
302,CD4-positive helper T cell,female,European,1416,0.5226866685369203
303,natural killer cell,female,European,1900,0.7013451060876755
304,plasmacytoid dendritic cell,female,European,114,0.04208070636526053
305,plasma cell,female,European,9,0.003322161028836358
306,naive B cell,female,European,424,0.15651069735851283
307,"CD8-positive, alpha-beta cytotoxic T cell",female,European,237,0.08748357375935742
308,gamma-delta T cell,female,European,188,0.06939625260235947
