,dataset_id,HuBMAP_tissue_block_id
436,HBM534.ZLFK.677,HBM989.ZFVH.366
437,HBM534.ZLFK.677,HBM996.SDNT.327
438,HBM535.XQDS.238,HBM989.ZFVH.366
439,HBM535.XQDS.238,HBM996.SDNT.327
440,HBM537.DFBM.458,HBM633.CHDG.392
441,HBM537.LTFK.379,HBM853.SNJJ.892
442,HBM539.HMRR.435,HBM848.PRTH.942
443,HBM539.MKQD.956,HBM636.XRCL.997
444,HBM542.DVXG.466,HBM449.THVK.739
445,HBM542.DVXG.466,HBM529.CXVH.794
446,HBM545.PQSZ.997,HBM427.GLTD.448
447,HBM545.PQSZ.997,HBM838.FRWC.772
448,HBM545.VTQM.594,HBM347.DKWD.579
449,HBM545.VTQM.594,HBM763.BTMG.534
450,HBM546.BXZQ.832,HBM397.BXSZ.439
451,HBM548.WNVT.322,HBM534.KCDB.944
452,HBM548.WNVT.322,HBM534.KCDB.944
453,HBM549.VSNH.445,HBM578.GNTF.748
454,HBM549.VSNH.445,HBM867.KTVV.927
455,HBM553.MNTQ.265,HBM279.ZBSM.472
456,HBM557.KNTT.394,HBM622.DQNP.599
457,HBM558.LPPJ.448,HBM996.XSFS.465
458,HBM558.PDRD.879,HBM358.NWPX.662
459,HBM558.PDRD.879,HBM975.TVTP.828
460,HBM562.WZFC.994,HBM734.MCNP.326
461,HBM562.WZFC.994,HBM872.VTRJ.863
462,HBM564.SLKN.287,HBM242.CWQM.323
463,HBM564.SLKN.287,HBM752.DHVB.758
464,HBM565.SQDP.934,HBM385.MVFS.563
465,HBM572.JLDL.664,HBM269.WTVL.357
466,HBM572.JLDL.664,HBM638.HSFV.957
467,HBM572.QTTV.726,HBM279.ZBSM.472
468,HBM572.RHTB.758,HBM447.JLND.596
469,HBM572.RHTB.758,HBM828.TGWJ.474
470,HBM574.NFCS.842,HBM667.TFXK.856
471,HBM575.THQM.284,HBM294.KLBX.557
472,HBM575.THQM.284,HBM595.QBKS.265
473,HBM575.XFCT.276,HBM665.QHRJ.735
474,HBM575.XFCT.276,HBM695.TGJS.338
475,HBM577.RMGR.698,HBM358.NWPX.662
476,HBM577.RMGR.698,HBM975.TVTP.828
477,HBM578.SRZG.769,HBM798.ZZBP.697
478,HBM578.SRZG.769,HBM937.HPQL.829
479,HBM578.ZCCJ.565,HBM279.ZBSM.472
480,HBM582.WWWJ.738,HBM744.DVKT.694
481,HBM584.CZDB.483,HBM338.VMRG.486
482,HBM584.ZTDX.845,HBM534.PQDR.545
483,HBM584.ZTDX.845,HBM658.HLPP.972
484,HBM585.GLSD.853,HBM622.DQNP.599
485,HBM587.JPLF.798,HBM282.CWDP.792
486,HBM587.JPLF.798,HBM662.LCNF.582
487,HBM592.JGSQ.253,HBM865.PBJW.845
488,HBM595.LMVW.678,HBM439.RKPP.789
489,HBM595.WPQX.592,HBM664.CMGH.349
490,HBM599.RZJF.272,HBM736.NQNZ.734
491,HBM622.STKS.394,HBM244.WWKJ.475
492,HBM622.STKS.394,HBM852.NHMT.774
493,HBM625.MGXD.586,HBM695.BKXQ.562
494,HBM625.PTSS.252,HBM957.MCFG.236
495,HBM625.SPXT.635,HBM487.SNFK.855
496,HBM625.SPXT.635,HBM968.BQKK.975
497,HBM627.DPFC.876,HBM562.WMRL.498
498,HBM627.DPFC.876,HBM798.ZZBP.697
499,HBM628.GRHB.867,HBM358.NWPX.662
500,HBM628.GRHB.867,HBM975.TVTP.828
501,HBM633.FDZW.772,HBM935.BPZZ.984
502,HBM635.DQXB.362,HBM935.BPZZ.984
503,HBM643.BCQL.723,HBM337.KBLS.364
504,HBM644.GBKD.967,HBM339.DBQF.784
505,HBM644.GBKD.967,HBM779.PTHT.732
506,HBM645.XLLN.924,HBM284.BTVB.232
507,HBM647.DLVS.872,HBM638.GGCQ.252
508,HBM652.PVGF.835,HBM326.SRTD.984
509,HBM654.PWCJ.763,HBM557.PWFN.956
510,HBM654.PWCJ.763,HBM827.CBML.724
511,HBM656.KZXP.658,HBM534.KCDB.944
512,HBM656.KZXP.658,HBM534.KCDB.944
513,HBM657.CDHD.889,HBM332.VDBW.894
514,HBM658.SBTV.949,HBM539.LXKF.934
515,HBM659.MPZT.644,HBM279.ZBSM.472
516,HBM659.WFXT.729,HBM588.QSNN.686
517,HBM659.WFXT.729,HBM979.SSNH.934
518,HBM664.DZXQ.368,HBM588.VWJV.826
519,HBM666.CMSP.669,HBM998.VHPF.947
520,HBM666.JCGS.862,HBM639.SGGN.469
521,HBM666.RBCG.529,HBM555.RTWS.767
522,HBM666.RBCG.529,HBM853.QPTX.552
523,HBM667.ZCQC.777,HBM874.QHNS.972
524,HBM668.RQWZ.595,HBM326.SRTD.984
525,HBM672.FKLN.936,HBM288.DVGK.364
526,HBM672.FKLN.936,HBM574.LFRK.262
527,HBM672.TRVG.967,HBM279.ZBSM.472
528,HBM673.WGZS.593,HBM223.KDVZ.277
529,HBM673.WGZS.593,HBM439.XLQC.765
530,HBM674.XQFQ.364,HBM228.BBHS.986
531,HBM676.QVGZ.455,HBM665.WCFR.932
532,HBM676.QVGZ.455,HBM888.FGRH.569
533,HBM677.TRKR.869,HBM222.SQKD.292
534,HBM677.TRKR.869,HBM682.PRLT.374
535,HBM678.FRJC.827,HBM665.QHRJ.735
536,HBM678.FRJC.827,HBM695.TGJS.338
537,HBM683.DSMM.562,HBM534.PQDR.545
538,HBM683.DSMM.562,HBM658.HLPP.972
539,HBM683.NRPR.962,HBM536.BHKD.628
540,HBM683.NRPR.962,HBM586.JRXG.769
541,HBM684.LRVL.722,HBM347.DKWD.579
542,HBM684.LRVL.722,HBM763.BTMG.534
543,HBM685.TTXB.975,HBM624.HGGF.297
544,HBM685.XWPB.694,HBM998.VHPF.947
545,HBM687.DTXP.559,HBM636.XRCL.997
546,HBM687.FWNC.555,HBM674.NJDT.733
547,HBM687.FWNC.555,HBM757.NMDS.629
548,HBM687.SJLD.889,HBM323.JDXK.437
549,HBM687.SJLD.889,HBM797.VZJD.683
550,HBM687.SQJV.939,HBM269.XSXP.962
551,HBM687.SQJV.939,HBM578.GNTF.748
552,HBM689.QPMR.542,HBM583.HWZC.364
553,HBM689.QPMR.542,HBM796.XJWH.729
554,HBM692.WWJD.963,HBM279.ZBSM.472
555,HBM693.ZRQJ.667,HBM242.XXTB.333
556,HBM694.QMLR.738,HBM269.XSXP.962
557,HBM694.QMLR.738,HBM578.GNTF.748
558,HBM694.TNFF.778,HBM556.CFNP.485
559,HBM694.TNFF.778,HBM589.TRHK.898
560,HBM695.CKJX.997,HBM588.QSNN.686
561,HBM695.CKJX.997,HBM979.SSNH.934
562,HBM695.LDLJ.975,HBM255.XXFK.472
563,HBM695.LDLJ.975,HBM724.ZQKX.379
564,HBM695.VNZJ.522,HBM242.XXTB.333
565,HBM695.XTNF.836,HBM339.DBQF.784
566,HBM695.XTNF.836,HBM779.PTHT.732
567,HBM696.JXRB.423,HBM865.GDDB.632
568,HBM697.XSHN.426,HBM279.ZBSM.472
569,HBM699.NGDQ.539,HBM347.DKWD.579
570,HBM699.NGDQ.539,HBM763.BTMG.534
571,HBM722.TLKZ.444,HBM664.CMGH.349
572,HBM723.QMLJ.829,HBM665.QHRJ.735
573,HBM723.QMLJ.829,HBM695.TGJS.338
574,HBM724.RVJD.893,HBM725.PZJL.434
575,HBM724.WBBC.362,HBM279.ZBSM.472
576,HBM725.BRBB.566,HBM223.KDVZ.277
